NAME;abbreviation;y2004;repEleCol2004;demEleCol2004;demVotes2004;repVotes2004;totVote2004;y2008;repEleCol2008;demEleCol2008;demVotes2008;repVote2008;totVote2008;y2012;repEleCol2012;demEleCol2012;demVotes2012;repVotes2012;totVote2012;y2016;repEleCol2016;demEleCol2016;demVotes2016;repVotes2016;totVote2016;y2020;repEleCol2020;demEleCol2020;demVotes2020;repVotes2020;totVote2020;y2024;demEleCol2024;repEleCol2024;demVotes2024;repVotes2024;totVote2024
ALABAMA;AL;Republican;9;0;693933;1176394;1883415;Republican;9;0;813479;1266546;2099819;Republican;9;0;795696;1255925;2074338;Republican;9;0;729547;1318255;2123372;Republican;9;0;849624;1441170;2323282;Republican;0;9;772412;1462616;2265090
ALASKA;AK;Republican;3;0;111025;190889;312598;Republican;3;0;123594;193841;326197;Republican;3;0;122640;164676;300495;Republican;3;0;116454;163387;318608;Republican;3;0;153778;189951;359530;Republican;0;3;140026;184458;338177
ARIZONA;AZ;Republican;10;0;893524;1104294;2012585;Republican;10;0;1034707;1230111;2293475;Republican;11;0;1025232;1233654;2299254;Republican;11;0;1161209;1252401;2573165;Democrat;0;11;1672143;1661686;3387326;Republican;0;11;1582860;1770242;3400726
ARKANSAS;AR;Republican;6;0;469953;572898;1054945;Republican;6;0;422310;638017;1086617;Republican;6;0;394409;647744;1069468;Republican;6;0;380494;684872;1130635;Republican;6;0;423932;760647;1219069;Republican;0;6;396905;759241;1182676
CALIFORNIA;CA;Democrat;0;55;6745485;5509826;12421353;Democrat;0;55;8274473;5011781;13561900;Democrat;0;55;7854285;4839958;13038547;Democrat;0;55;8753788;4483810;14181595;Democrat;0;55;11110250;6006429;17500881;Democrat;54;0;9276179;6081697;15862536
COLORADO;CO;Republican;9;0;1001732;1101255;2129630;Democrat;0;9;1288576;1073589;2401361;Democrat;0;9;1323101;1185243;2569516;Democrat;0;9;1338870;1202484;2780220;Democrat;0;9;1804352;1364607;3279980;Democrat;10;0;1728159;1377441;3192745
CONNECTICUT;CT;Democrat;0;7;857488;693826;1578769;Democrat;0;7;997772;629428;1646792;Democrat;0;7;905083;634892;1558204;Democrat;0;7;897572;673215;1644920;Democrat;0;7;1080831;714717;1823857;Democrat;7;0;992053;736918;1759010
DELAWARE;DE;Democrat;0;3;200152;171660;375190;Democrat;0;3;255459;152374;412412;Democrat;0;3;242584;165484;413890;Democrat;0;3;235603;185127;441590;Democrat;0;3;296268;200603;504346;Democrat;3;0;289758;214351;512912
DISTRICT OF COLUMBIA;DC;Democrat;0;3;202970;21256;227586;Democrat;0;3;245800;17367;265853;Democrat;0;3;267070;21381;293764;Democrat;0;3;282830;12723;312575;Democrat;0;3;317323;18586;344356;Democrat;3;0;294185;21076;325869
FLORIDA;FL;Republican;27;0;3583544;3964522;7609810;Democrat;0;27;4282074;4045624;8390744;Democrat;0;29;4237756;4163447;8474179;Republican;29;0;4504975;4617886;9420039;Republican;29;0;5297045;5668731;11067456;Republican;0;30;4683038;6110125;10935465
GEORGIA;GA;Republican;15;0;1366149;1914254;3301875;Republican;15;0;1844123;2048759;3924486;Republican;16;0;1773827;2078688;3897839;Republican;16;0;1877963;2089104;4114732;Democrat;0;16;2473633;2461854;4999960;Republican;0;16;2548017;2663117;5268481
HAWAII;HI;Democrat;0;4;231708;194191;429013;Democrat;0;4;325871;120566;456064;Democrat;0;4;306658;121015;437159;Democrat;0;3;266891;128847;437664;Democrat;0;4;366130;196864;579784;Democrat;4;0;313044;193661;516701
IDAHO;ID;Republican;4;0;181098;409235;598376;Republican;4;0;236440;403012;655122;Republican;4;0;212787;420911;652274;Republican;4;0;189765;409055;690255;Republican;4;0;287021;554119;868014;Republican;0;4;274972;605246;905053
ILLINOIS;IL;Democrat;0;21;2891550;2345946;5274322;Democrat;0;21;3419348;2031179;5522371;Democrat;0;20;3019512;2135216;5242014;Democrat;0;20;3090729;2146015;5536424;Democrat;0;20;3471915;2446891;6033743;Democrat;19;0;3062863;2449079;5640313
INDIANA;IN;Republican;11;0;969011;1479438;2468002;Democrat;0;11;1374039;1345648;2751054;Republican;11;0;1152887;1420543;2624534;Republican;11;0;1033126;1557286;2734958;Republican;11;0;1242416;1729519;3033118;Republican;0;11;1163603;1720347;2944334
IOWA;IA;Republican;7;0;741898;751957;1506908;Democrat;0;7;828940;682379;1537123;Democrat;0;6;822544;730617;1582180;Republican;6;0;653669;800983;1565580;Republican;6;0;759061;897672;1700130;Republican;0;6;707278;927019;1663506
KANSAS;KS;Republican;6;0;434993;736456;1187756;Republican;6;0;514765;699655;1235872;Republican;6;0;440726;692634;1159971;Republican;6;0;427005;671018;1184402;Republican;6;0;570323;771406;1372303;Republican;0;6;544853;758802;1335098
KENTUCKY;KY;Republican;8;0;712733;1069439;1795882;Republican;8;0;751985;1048462;1826620;Republican;8;0;679370;1087190;1797212;Republican;8;0;628854;1202971;1924149;Republican;8;0;772474;1326646;2136768;Republican;0;8;700921;1336230;2070079
LOUISIANA;LA;Republican;9;0;820299;1102169;1943106;Republican;9;0;782989;1148275;1960761;Republican;8;0;809141;1152262;1994065;Republican;8;0;780154;1178638;2029032;Republican;8;0;856034;1255776;2148062;Republican;0;8;76687;1208505;2006975
MAINE;ME;Democrat;0;4;396842;330201;740752;Democrat;0;4;421923;295273;731163;Democrat;0;4;401306;292276;724758;Democrat;1;3;357735;335593;771892;Democrat;1;3;435072;360737;828305;Democrat;3;1;435351;377837;830989
MARYLAND;MD;Democrat;0;10;1334493;1024703;2384238;Democrat;0;10;1629467;959862;2631596;Democrat;0;10;1677844;971869;2707327;Democrat;0;10;1678006;943428;2781446;Democrat;0;10;1985023;976414;3037030;Democrat;10;0;1902577;1035550;3038334
